"place_id","place_name","city","state","region","place_type","category","significance","description","mood_tags","best_time_to_visit","ideal_visit_time","recommended_duration_hours","entry_fee","rating","crowd_level","family_friendly","adventure_level","cultural_value","nature_value","budget_level","latitude","longitude","nearest_airport","nearest_railway","local_tips","food_specialty","safety_score","cleanliness_score","photography_spots","weather_type","seasonal_highlight","priority"
"IND001","Hawa Mahal","Jaipur","Rajasthan","North","Monument","Heritage","Historic palace","Iconic pink sandstone structure with 953 windows offering panoramic city views and exemplifying Rajput-Mughal architecture from 1799,peaceful","architectural","historic","Oct-Mar","Morning","2","50","4.5","High","Yes","Low","High","Low","26.923669","75.827481","Jaipur Intl","Jaipur Jn","Visit early to avoid crowds; wear comfortable shoes","Dal baati churma","9.2","8.5","High","Sunny","Diwali lights","Must Visit"
"IND002","City Palace","Jaipur","Rajasthan","North","Palace","Heritage","Royal residence","Magnificent complex of palaces museums and temples housing royal artifacts and showcasing opulent Rajasthani architecture spanning centuries,royal","majestic","cultural","Oct-Mar","Afternoon","3","200","4.6","High","Yes","Low","High","Medium","26.9245","75.8295","Jaipur Intl","Jaipur Jn","Combine with museum visit; audio guide recommended","Rajasthani thali","9.1","8.7","High","Sunny","Festive fairs","Must Visit"
"IND003","Amber Fort","Jaipur","Rajasthan","North","Fort","Heritage","UNESCO site","Grand hilltop fort with elephant rides palaces and mirror work offering stunning Aravalli views and historical Rajput valor tales,adventure","historic","magnificent","Oct-Mar","Morning","4","100","4.7","High","Yes","Medium","High","Medium","26.985517","75.851333","Jaipur Intl","Jaipur Jn","Elephant ride optional; explore light show at night","Kachori","9.0","8.4","High","Sunny","Winter sunsets","Must Visit"
"IND004","Jantar Mantar","Jaipur","Rajasthan","North","Monument","Heritage","UNESCO observatory","World's largest stone observatory with 19 astronomical instruments showcasing 18th-century scientific achievements in India,scientific","unique","ancient","Oct-Mar","Morning","1.5","50","4.4","Medium","Yes","Low","High","Low","26.9264","75.8245","Jaipur Intl","Jaipur Jn","Guide helps understand instruments; photography allowed","Pyaaz kachori","9.3","8.8","Medium","Sunny","Starlit skies","Must Visit"
"IND005","Nahargarh Fort","Jaipur","Rajasthan","North","Fort","Heritage","Panoramic views","Hilltop fort offering breathtaking Jaipur cityscapes sunset views and housing royal summer palace remnants with cannon points,romantic","scenic","historic","Oct-Mar","Evening","2","50","4.3","Low","Yes","Low","Medium","Low","26.9269","75.8182","Jaipur Intl","Jaipur Jn","Perfect for sunset; carry water for climb","Ghevar","8.9","8.6","High","Sunny","Monsoon clouds","Recommended"
"IND006","Albert Hall Museum","Jaipur","Rajasthan","North","Museum","Heritage","Indo-Saracenic architecture","Oldest museum in Rajasthan displaying miniature paintings artifacts and marble sculptures in stunning pink marble building,artistic","educational","historic","Oct-Mar","Morning","2","40","4.2","Medium","Yes","Low","High","Low","26.9124","75.8288","Jaipur Intl","Jaipur Jn","Focus on miniature paintings; no flash photography","Mirchi vada","9.0","8.5","Medium","Sunny","Winter exhibits","Must Visit"
"IND007","Red Fort","Delhi","Delhi","North","Fort","Heritage","UNESCO site","Mughal masterpiece with red sandstone walls housing Diwan-i-Aam and Lahori Gate symbolizing imperial grandeur and freedom struggle history,imperial","historic","majestic","Oct-Mar","Morning","3","75","4.6","High","Yes","Low","High","Low","28.6562","77.2410","Indira Gandhi Intl","Delhi Jn","Sound light show evenings; Independence Day special","Jalebi","9.4","8.9","High","Sunny","Republic Day","Must Visit"
"IND008","India Gate","Delhi","Delhi","North","Monument","Heritage","War memorial","Towering arch honoring 70,000 Indian soldiers with eternal flame and lawns perfect for evening strolls and Republic Day parades,patriotic","memorial","iconic","Oct-Mar","Evening","1","0","4.5","High","Yes","Low","Medium","Low","28.6129","77.2295","Indira Gandhi Intl","Nizamuddin","Picnic spot; boat rides in nearby lake","Chole bhature","9.3","8.8","High","Sunny","Monsoon greenery","Must Visit"
"IND009","Qutub Minar","Delhi","Delhi","North","Monument","Heritage","UNESCO tallest minaret","World's tallest brick minaret at 73m adorned with Quranic inscriptions surrounded by ancient ruins showcasing Delhi Sultanate glory,historic","towering","spiritual","Oct-Mar","Morning","2","30","4.7","High","Yes","Low","High","Low","28.5245","77.1850","Indira Gandhi Intl","Hazrat Nizamuddin","Climb unavailable; explore complex fully","Aloo chaat","9.2","8.7","High","Sunny","Fall foliage","Must Visit"
"IND010","Lotus Temple","Delhi","Delhi","North","Temple","Spiritual","Baháʼí House","Baháʼí lotus-shaped marble temple promoting unity with 27 petals allowing silent contemplation amidst serene gardens,peaceful","spiritual","architectural","Oct-Mar","Morning","1.5","0","4.6","Medium","Yes","Low","Medium","Low","28.5535","77.2508","Indira Gandhi Intl","Okhla","Silence maintained; closes noon-2pm","Dosa","9.1","9.0","Medium","Sunny","Spring blooms","Must Visit"
